,rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x.1,y.1,z.1,w
117,1663806757782377845,,249,,1624528762,12418985,'',,,-10.39,2.03,0.22,,0.0,0.0,0.0,1.0
118,1663806757882318491,,250,,1624528762,112318992,'',,,-10.5,2.03,0.39,,0.0,0.0,0.0,1.0
119,1663806757982434650,,251,,1624528762,212285995,'',,,-10.57,1.99,0.31,,0.0,0.0,0.0,1.0
120,1663806758082370951,,252,,1624528762,312194108,'',,,-10.62,2.01,0.14,,0.0,0.0,0.0,1.0
121,1663806758183111365,,253,,1624528762,413230895,'',,,-10.71,2.0,0.2,,0.0,0.0,0.0,1.0
122,1663806758282246266,,254,,1624528762,512422084,'',,,-10.8,2.07,0.36,,0.0,0.0,0.0,1.0
123,1663806758382210396,,255,,1624528762,612534046,'',,,-10.9,2.16,0.76,,0.0,0.0,0.0,1.0
124,1663806758482402711,,256,,1624528762,712476968,'',,,-10.99,2.24,1.01,,0.0,0.0,0.0,1.0
125,1663806758582871020,,257,,1624528762,812664985,'',,,-11.07,2.25,1.14,,0.0,0.0,0.0,1.0
126,1663806758683761189,,258,,1624528762,913068056,'',,,-11.14,2.26,1.37,,0.0,0.0,0.0,1.0
127,1663806758883222643,,259,,1624528763,112790107,'',,,-11.22,2.21,1.79,,0.0,0.0,0.0,1.0
128,1663806758982786579,,260,,1624528763,212682008,'',,,-11.29,2.12,1.44,,0.0,0.0,0.0,1.0
129,1663806759083150899,,261,,1624528763,313647985,'',,,-11.36,2.06,1.24,,0.0,0.0,0.0,1.0
130,1663806759182493472,,262,,1624528763,412775993,'',,,-11.44,2.04,1.12,,0.0,0.0,0.0,1.0
131,1663806759282489348,,263,,1624528763,512007951,'',,,-11.51,2.0,0.93,,0.0,0.0,0.0,1.0
132,1663806759372507521,,264,,1624528763,602855920,'',,,-11.56,1.96,0.7,,0.0,0.0,0.0,1.0
133,1663806759484503562,,265,,1624528763,714564085,'',,,-11.67,2.06,1.02,,0.0,0.0,0.0,1.0
134,1663806759581806053,,266,,1624528763,811933040,'',,,-11.73,2.02,0.86,,0.0,0.0,0.0,1.0
135,1663806759782244470,,267,,1624528764,12357950,'',,,-11.8,2.02,0.66,,0.0,0.0,0.0,1.0
136,1663806759882591971,,268,,1624528764,112884998,'',,,-11.89,1.96,0.67,,0.0,0.0,0.0,1.0
137,1663806759983441496,,269,,1624528764,212860107,'',,,-11.98,1.97,0.81,,0.0,0.0,0.0,1.0
138,1663806760082434869,,270,,1624528764,312551975,'',,,-12.04,1.98,0.56,,0.0,0.0,0.0,1.0
139,1663806760183579485,,271,,1624528764,412636041,'',,,-12.13,2.04,0.62,,0.0,0.0,0.0,1.0
140,1663806760282636108,,272,,1624528764,512341022,'',,,-12.16,2.06,0.26,,0.0,0.0,0.0,1.0
141,1663806760382800684,,273,,1624528764,612657070,'',,,-12.23,2.08,0.19,,0.0,0.0,0.0,1.0
142,1663806760482602694,,274,,1624528764,712507009,'',,,-12.32,2.11,0.24,,0.0,0.0,0.0,1.0
143,1663806760582106743,,275,,1624528764,812175035,'',,,-12.36,2.11,0.03,,0.0,0.0,0.0,1.0
144,1663806760683940136,,276,,1624528764,911933898,'',,,-12.46,2.14,0.27,,0.0,0.0,0.0,1.0
145,1663806760773780253,,277,,1624528765,2465009,'',,,-12.53,2.14,0.31,,0.0,0.0,0.0,1.0
146,1663806760882413513,,278,,1624528765,112473011,'',,,-12.61,2.1,0.36,,0.0,0.0,0.0,1.0
147,1663806760982138703,,279,,1624528765,212142944,'',,,-12.69,2.1,0.41,,0.0,0.0,0.0,1.0
148,1663806761072471728,,280,,1624528765,302609920,'',,,-12.78,2.07,0.57,,0.0,0.0,0.0,1.0
149,1663806761182920584,,281,,1624528765,412997961,'',,,-12.83,2.05,0.36,,0.0,0.0,0.0,1.0
150,1663806761284421211,,282,,1624528765,511923074,'',,,-12.91,2.05,0.44,,0.0,0.0,0.0,1.0
151,1663806761383113088,,283,,1624528765,613012075,'',,,-13.0,2.11,0.68,,0.0,0.0,0.0,1.0
152,1663806761482680227,,284,,1624528765,712668895,'',,,-13.06,2.07,0.53,,0.0,0.0,0.0,1.0
153,1663806761585246635,,285,,1624528765,815169095,'',,,-13.16,2.17,0.92,,0.0,0.0,0.0,1.0
154,1663806761682898456,,286,,1624528765,912842988,'',,,-13.22,2.07,0.87,,0.0,0.0,0.0,1.0
155,1663806761784916090,,287,,1624528766,12207031,'',,,-13.29,2.05,1.14,,0.0,0.0,0.0,1.0
156,1663806761882352927,,288,,1624528766,112270116,'',,,-13.34,1.96,0.92,,0.0,0.0,0.0,1.0
